"MTU","Out Area","In Area","Physical Flow (MW)"
"29/04/2026 15:00:00 - 29/04/2026 16:00:00","Greece (GR)","Bulgaria (BG)","-"
"29/04/2026 15:00:00 - 29/04/2026 16:00:00","Bulgaria (BG)","Greece (GR)","-"
"29/04/2026 15:00:00 - 29/04/2026 16:00:00","Greece (GR)","Italy (IT)","-"
"29/04/2026 15:00:00 - 29/04/2026 16:00:00","Italy (IT)","Greece (GR)","-"
"29/04/2026 15:00:00 - 29/04/2026 16:00:00","Greece (GR)","North Macedonia (MK)","-"
"29/04/2026 15:00:00 - 29/04/2026 16:00:00","North Macedonia (MK)","Greece (GR)","-"
"29/04/2026 15:00:00 - 29/04/2026 16:00:00","Greece (GR)","Turkey (TR)","-"
"29/04/2026 15:00:00 - 29/04/2026 16:00:00","Turkey (TR)","Greece (GR)","-"
"29/04/2026 16:00:00 - 29/04/2026 17:00:00","Greece (GR)","Albania (AL)","-"
"29/04/2026 16:00:00 - 29/04/2026 17:00:00","Albania (AL)","Greece (GR)","-"
"29/04/2026 16:00:00 - 29/04/2026 17:00:00","Greece (GR)","Bulgaria (BG)","-"
"29/04/2026 16:00:00 - 29/04/2026 17:00:00","Bulgaria (BG)","Greece (GR)","-"
"29/04/2026 16:00:00 - 29/04/2026 17:00:00","Greece (GR)","Italy (IT)","-"
"29/04/2026 16:00:00 - 29/04/2026 17:00:00","Italy (IT)","Greece (GR)","-"
"29/04/2026 16:00:00 - 29/04/2026 17:00:00","Greece (GR)","North Macedonia (MK)","-"
"29/04/2026 16:00:00 - 29/04/2026 17:00:00","North Macedonia (MK)","Greece (GR)","-"
"29/04/2026 16:00:00 - 29/04/2026 17:00:00","Greece (GR)","Turkey (TR)","-"
"29/04/2026 16:00:00 - 29/04/2026 17:00:00","Turkey (TR)","Greece (GR)","-"
"29/04/2026 17:00:00 - 29/04/2026 18:00:00","Greece (GR)","Albania (AL)","-"
"29/04/2026 17:00:00 - 29/04/2026 18:00:00","Albania (AL)","Greece (GR)","-"
"29/04/2026 17:00:00 - 29/04/2026 18:00:00","Greece (GR)","Bulgaria (BG)","-"
"29/04/2026 17:00:00 - 29/04/2026 18:00:00","Bulgaria (BG)","Greece (GR)","-"
"29/04/2026 17:00:00 - 29/04/2026 18:00:00","Greece (GR)","Italy (IT)","-"
"29/04/2026 17:00:00 - 29/04/2026 18:00:00","Italy (IT)","Greece (GR)","-"
"29/04/2026 17:00:00 - 29/04/2026 18:00:00","Greece (GR)","North Macedonia (MK)","-"
"29/04/2026 17:00:00 - 29/04/2026 18:00:00","North Macedonia (MK)","Greece (GR)","-"
"29/04/2026 17:00:00 - 29/04/2026 18:00:00","Greece (GR)","Turkey (TR)","-"
"29/04/2026 17:00:00 - 29/04/2026 18:00:00","Turkey (TR)","Greece (GR)","-"
"29/04/2026 18:00:00 - 29/04/2026 19:00:00","Greece (GR)","Albania (AL)","-"
"29/04/2026 18:00:00 - 29/04/2026 19:00:00","Albania (AL)","Greece (GR)","-"
"29/04/2026 18:00:00 - 29/04/2026 19:00:00","Greece (GR)","Bulgaria (BG)","-"
"29/04/2026 18:00:00 - 29/04/2026 19:00:00","Bulgaria (BG)","Greece (GR)","-"
"29/04/2026 18:00:00 - 29/04/2026 19:00:00","Greece (GR)","Italy (IT)","-"
"29/04/2026 18:00:00 - 29/04/2026 19:00:00","Italy (IT)","Greece (GR)","-"
"29/04/2026 18:00:00 - 29/04/2026 19:00:00","Greece (GR)","North Macedonia (MK)","-"
"29/04/2026 18:00:00 - 29/04/2026 19:00:00","North Macedonia (MK)","Greece (GR)","-"
"29/04/2026 18:00:00 - 29/04/2026 19:00:00","Greece (GR)","Turkey (TR)","-"
"29/04/2026 18:00:00 - 29/04/2026 19:00:00","Turkey (TR)","Greece (GR)","-"
"29/04/2026 19:00:00 - 29/04/2026 20:00:00","Greece (GR)","Albania (AL)","-"
"29/04/2026 19:00:00 - 29/04/2026 20:00:00","Albania (AL)","Greece (GR)","-"
"29/04/2026 19:00:00 - 29/04/2026 20:00:00","Greece (GR)","Bulgaria (BG)","-"
"29/04/2026 19:00:00 - 29/04/2026 20:00:00","Bulgaria (BG)","Greece (GR)","-"
"29/04/2026 19:00:00 - 29/04/2026 20:00:00","Greece (GR)","Italy (IT)","-"
"29/04/2026 19:00:00 - 29/04/2026 20:00:00","Italy (IT)","Greece (GR)","-"
"29/04/2026 19:00:00 - 29/04/2026 20:00:00","Greece (GR)","North Macedonia (MK)","-"
"29/04/2026 19:00:00 - 29/04/2026 20:00:00","North Macedonia (MK)","Greece (GR)","-"
"29/04/2026 19:00:00 - 29/04/2026 20:00:00","Greece (GR)","Turkey (TR)","-"
"29/04/2026 19:00:00 - 29/04/2026 20:00:00","Turkey (TR)","Greece (GR)","-"
"29/04/2026 20:00:00 - 29/04/2026 21:00:00","Greece (GR)","Albania (AL)","-"
"29/04/2026 20:00:00 - 29/04/2026 21:00:00","Albania (AL)","Greece (GR)","-"
"29/04/2026 20:00:00 - 29/04/2026 21:00:00","Greece (GR)","Bulgaria (BG)","-"
"29/04/2026 20:00:00 - 29/04/2026 21:00:00","Bulgaria (BG)","Greece (GR)","-"
"29/04/2026 20:00:00 - 29/04/2026 21:00:00","Greece (GR)","Italy (IT)","-"
"29/04/2026 20:00:00 - 29/04/2026 21:00:00","Italy (IT)","Greece (GR)","-"
"29/04/2026 20:00:00 - 29/04/2026 21:00:00","Greece (GR)","North Macedonia (MK)","-"
"29/04/2026 20:00:00 - 29/04/2026 21:00:00","North Macedonia (MK)","Greece (GR)","-"
"29/04/2026 20:00:00 - 29/04/2026 21:00:00","Greece (GR)","Turkey (TR)","-"
"29/04/2026 20:00:00 - 29/04/2026 21:00:00","Turkey (TR)","Greece (GR)","-"
"29/04/2026 21:00:00 - 29/04/2026 22:00:00","Greece (GR)","Albania (AL)","-"
"29/04/2026 21:00:00 - 29/04/2026 22:00:00","Albania (AL)","Greece (GR)","-"
"29/04/2026 21:00:00 - 29/04/2026 22:00:00","Greece (GR)","Bulgaria (BG)","-"
"29/04/2026 21:00:00 - 29/04/2026 22:00:00","Bulgaria (BG)","Greece (GR)","-"
"29/04/2026 21:00:00 - 29/04/2026 22:00:00","Greece (GR)","Italy (IT)","-"
"29/04/2026 21:00:00 - 29/04/2026 22:00:00","Italy (IT)","Greece (GR)","-"
"29/04/2026 21:00:00 - 29/04/2026 22:00:00","Greece (GR)","North Macedonia (MK)","-"
"29/04/2026 21:00:00 - 29/04/2026 22:00:00","North Macedonia (MK)","Greece (GR)","-"
"29/04/2026 21:00:00 - 29/04/2026 22:00:00","Greece (GR)","Turkey (TR)","-"
"29/04/2026 21:00:00 - 29/04/2026 22:00:00","Turkey (TR)","Greece (GR)","-"
"29/04/2026 22:00:00 - 29/04/2026 23:00:00","Greece (GR)","Albania (AL)","-"
"29/04/2026 22:00:00 - 29/04/2026 23:00:00","Albania (AL)","Greece (GR)","-"
"29/04/2026 22:00:00 - 29/04/2026 23:00:00","Greece (GR)","Bulgaria (BG)","-"
"29/04/2026 22:00:00 - 29/04/2026 23:00:00","Bulgaria (BG)","Greece (GR)","-"
"29/04/2026 22:00:00 - 29/04/2026 23:00:00","Greece (GR)","Italy (IT)","-"
"29/04/2026 22:00:00 - 29/04/2026 23:00:00","Italy (IT)","Greece (GR)","-"
"29/04/2026 22:00:00 - 29/04/2026 23:00:00","Greece (GR)","North Macedonia (MK)","-"
"29/04/2026 22:00:00 - 29/04/2026 23:00:00","North Macedonia (MK)","Greece (GR)","-"
"29/04/2026 22:00:00 - 29/04/2026 23:00:00","Greece (GR)","Turkey (TR)","-"
"29/04/2026 22:00:00 - 29/04/2026 23:00:00","Turkey (TR)","Greece (GR)","-"
"29/04/2026 23:00:00 - 30/04/2026 00:00:00","Greece (GR)","Albania (AL)","-"
"29/04/2026 23:00:00 - 30/04/2026 00:00:00","Albania (AL)","Greece (GR)","-"
"29/04/2026 23:00:00 - 30/04/2026 00:00:00","Greece (GR)","Bulgaria (BG)","-"
"29/04/2026 23:00:00 - 30/04/2026 00:00:00","Bulgaria (BG)","Greece (GR)","-"
"29/04/2026 23:00:00 - 30/04/2026 00:00:00","Greece (GR)","Italy (IT)","-"
"29/04/2026 23:00:00 - 30/04/2026 00:00:00","Italy (IT)","Greece (GR)","-"
"29/04/2026 23:00:00 - 30/04/2026 00:00:00","Greece (GR)","North Macedonia (MK)","-"
"29/04/2026 23:00:00 - 30/04/2026 00:00:00","North Macedonia (MK)","Greece (GR)","-"
"29/04/2026 23:00:00 - 30/04/2026 00:00:00","Greece (GR)","Turkey (TR)","-"
"29/04/2026 23:00:00 - 30/04/2026 00:00:00","Turkey (TR)","Greece (GR)","-"
